,Respondent,LanguageWorkedWith,LanguageDesireNextYear,DatabaseWorkedWith,DatabaseDesireNextYear,PlatformWorkedWith,PlatformDesireNextYear,WebFrameWorkedWith,WebFrameDesireNextYear
48,22,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Docker,Docker,Angular/Angular.js,Angular/Angular.js
49,22,C++,C++,MySQL,MySQL,Linux,Linux,Ruby on Rails,Ruby on Rails
50,22,HTML/CSS,HTML/CSS,Oracle,Oracle,Raspberry Pi,Raspberry Pi,,
51,22,JavaScript,JavaScript,Redis,Redis,Windows,Windows,,
52,22,Python,Python,,,,,,
53,22,Ruby,Ruby,,,,,,
54,22,SQL,SQL,,,,,,
55,22,TypeScript,TypeScript,,,,,,
56,23,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Couchbase,Docker,Docker,React.js,Express
57,23,HTML/CSS,Go,SQLite,DynamoDB,Google Cloud Platform,iOS,Ruby on Rails,React.js
58,23,JavaScript,HTML/CSS,,Elasticsearch,,Slack,,Ruby on Rails
59,23,Python,Java,,Firebase,,,,Vue.js
60,23,Ruby,JavaScript,,Oracle,,,,
61,23,SQL,Kotlin,,,,,,
62,23,,Objective-C,,,,,,
63,23,,Python,,,,,,
64,23,,Ruby,,,,,,
65,23,,SQL,,,,,,
66,23,,Swift,,,,,,
67,23,,TypeScript,,,,,,
68,24,HTML/CSS,Go,Firebase,,AWS,Android,Express,Vue.js
69,24,JavaScript,,MongoDB,,WordPress,Docker,jQuery,
70,24,PHP,,MySQL,,,Slack,React.js,
71,24,TypeScript,,,,,,,
72,25,HTML/CSS,HTML/CSS,MySQL,MySQL,Linux,Linux,Angular/Angular.js,Angular/Angular.js
73,25,JavaScript,JavaScript,,,Windows,Windows,jQuery,jQuery
74,25,PHP,PHP,,,,,Laravel,Laravel
75,25,SQL,SQL,,,,,,React.js
76,25,TypeScript,TypeScript,,,,,,Vue.js
77,26,Bash/Shell/PowerShell,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,Android,Angular/Angular.js,Angular/Angular.js
78,26,C++,HTML/CSS,MySQL,MySQL,Docker,Docker,ASP.NET,ASP.NET
79,26,C#,JavaScript,Redis,Redis,Linux,iOS,Drupal,
80,26,HTML/CSS,Objective-C,SQLite,SQLite,MacOS,Linux,Express,
81,26,JavaScript,Ruby,,,Microsoft Azure,MacOS,jQuery,
82,26,PHP,SQL,,,Windows,Microsoft Azure,Ruby on Rails,
83,26,Python,Swift,,,WordPress,Windows,,
84,26,Ruby,TypeScript,,,,,,
85,26,SQL,WebAssembly,,,,,,
86,26,Swift,,,,,,,
87,26,TypeScript,,,,,,,
88,26,VBA,,,,,,,
89,29,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Firebase,PostgreSQL,,Docker,Express,Angular/Angular.js
90,29,JavaScript,Clojure,MongoDB,SQLite,,,jQuery,React.js
91,29,SQL,JavaScript,MySQL,,,,React.js,Vue.js
92,29,,Python,,,,,,
93,29,,R,,,,,,
94,29,,TypeScript,,,,,,
95,38,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Windows,ASP.NET,ASP.NET
96,38,HTML/CSS,HTML/CSS,,,,,jQuery,jQuery
97,38,JavaScript,JavaScript,,,,,,
98,38,SQL,SQL,,,,,,
99,39,C#,C#,Microsoft SQL Server,Microsoft SQL Server,AWS,AWS,Angular/Angular.js,Angular/Angular.js
100,39,JavaScript,F#,PostgreSQL,PostgreSQL,Docker,Linux,ASP.NET,ASP.NET
101,39,SQL,SQL,Redis,Redis,Kubernetes,Microsoft Azure,jQuery,
102,39,TypeScript,TypeScript,SQLite,SQLite,Linux,Windows,,
103,39,,,,,Microsoft Azure,,,
104,39,,,,,Windows,,,
105,43,C++,C#,Firebase,Firebase,Android,Android,ASP.NET,ASP.NET
106,43,C#,HTML/CSS,MySQL,,Arduino,iOS,Django,Spring
107,43,HTML/CSS,Objective-C,Oracle,,iOS,MacOS,Spring,
108,43,Java,,SQLite,,MacOS,Raspberry Pi,,
109,43,JavaScript,,,,Raspberry Pi,Slack,,
110,43,Objective-C,,,,Slack,Windows,,
111,43,SQL,,,,Windows,WordPress,,
112,43,,,,,WordPress,,,
113,44,Bash/Shell/PowerShell,C#,Oracle,Other(s):,Linux,Docker,Spring,Spring
114,44,C#,,Other(s):,,Windows,Linux,Vue.js,Vue.js
115,44,HTML/CSS,,,,,Microsoft Azure,,Other(s):
116,44,Java,,,,,Windows,,
117,44,JavaScript,,,,,,,
118,44,SQL,,,,,,,
119,44,TypeScript,,,,,,,
120,44,WebAssembly,,,,,,,
121,49,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Cassandra,Cassandra,Android,Android,Angular/Angular.js,Angular/Angular.js
122,49,HTML/CSS,HTML/CSS,DynamoDB,DynamoDB,Arduino,Arduino,Django,Express
123,49,Java,Java,Elasticsearch,Elasticsearch,AWS,AWS,Express,Spring
124,49,JavaScript,JavaScript,MariaDB,MariaDB,Docker,Docker,Spring,
125,49,PHP,Kotlin,MongoDB,MongoDB,Linux,Linux,,
126,49,Python,Python,PostgreSQL,PostgreSQL,Slack,Slack,,
127,49,SQL,SQL,,,Windows,Windows,,
128,49,TypeScript,TypeScript,,,,,,
129,50,Bash/Shell/PowerShell,HTML/CSS,Elasticsearch,Firebase,Arduino,AWS,Django,Express
130,50,C,JavaScript,Firebase,PostgreSQL,AWS,Docker,Express,Flask
131,50,C++,Python,MariaDB,Redis,Heroku,Heroku,Flask,jQuery
132,50,HTML/CSS,,MongoDB,Other(s):,Linux,Kubernetes,jQuery,React.js
133,50,Java,,MySQL,,MacOS,Linux,,Vue.js
134,50,JavaScript,,Oracle,,Raspberry Pi,MacOS,,
135,50,PHP,,SQLite,,WordPress,WordPress,,
136,50,Python,,Other(s):,,,,,
137,50,SQL,,,,,,,
138,53,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,DynamoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js
139,53,HTML/CSS,HTML/CSS,MySQL,MySQL,Docker,Docker,Spring,Spring
140,53,Java,Java,Oracle,PostgreSQL,,,,
141,53,JavaScript,JavaScript,Redis,Redis,,,,
142,53,PHP,SQL,,,,,,
143,53,SQL,TypeScript,,,,,,
144,53,TypeScript,,,,,,,
145,54,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,DynamoDB,Docker,AWS,Django,Django
146,54,HTML/CSS,HTML/CSS,Firebase,Elasticsearch,Linux,Google Cloud Platform,React.js,React.js
147,54,JavaScript,JavaScript,PostgreSQL,Firebase,MacOS,Linux,,Vue.js
148,54,Python,Python,SQLite,SQLite,,MacOS,,
149,54,,,,,,Microsoft Azure,,
150,56,Bash/Shell/PowerShell,Java,MySQL,Cassandra,Heroku,AWS,Spring,Angular/Angular.js
151,56,HTML/CSS,JavaScript,Oracle,DynamoDB,,Docker,,Django
152,56,Java,Kotlin,,Elasticsearch,,Google Cloud Platform,,Express
153,56,SQL,Python,,MariaDB,,Heroku,,React.js
154,56,,Scala,,MongoDB,,Kubernetes,,Spring
155,56,,TypeScript,,Redis,,Slack,,
156,57,JavaScript,Elixir,Firebase,DynamoDB,Linux,AWS,React.js,React.js
157,57,Python,JavaScript,MongoDB,Firebase,Windows,Docker,,
158,57,,Python,,MongoDB,,Google Cloud Platform,,
159,57,,TypeScript,,Redis,,Kubernetes,,
160,57,,,,,,Linux,,
161,57,,,,,,Raspberry Pi,,
162,60,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,AWS,AWS,Flask,Laravel
163,60,Go,C++,Elasticsearch,MySQL,Docker,Docker,Laravel,Vue.js
164,60,JavaScript,Go,MariaDB,PostgreSQL,Kubernetes,Google Cloud Platform,React.js,Other(s):
165,60,PHP,Kotlin,MySQL,Redis,,Kubernetes,Vue.js,
166,60,Python,Python,Redis,,,Raspberry Pi,Other(s):,
167,60,Ruby,TypeScript,Other(s):,,,Slack,,
168,60,SQL,,,,,,,
169,61,C++,Go,Firebase,PostgreSQL,Android,Arduino,ASP.NET,Laravel
170,61,C#,,Microsoft SQL Server,,Linux,Linux,Drupal,
171,61,HTML/CSS,,MySQL,,Raspberry Pi,Raspberry Pi,jQuery,
172,61,JavaScript,,Redis,,Windows,,Laravel,
173,61,PHP,,SQLite,,,,,
174,61,Python,,,,,,,
175,61,SQL,,,,,,,
176,61,VBA,,,,,,,
177,62,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Android,Android,Django,ASP.NET
178,62,C++,C,Microsoft SQL Server,MySQL,Linux,Docker,jQuery,Django
179,62,Go,C++,MySQL,Oracle,MacOS,Google Cloud Platform,React.js,Laravel
180,62,HTML/CSS,C#,Oracle,PostgreSQL,Microsoft Azure,Heroku,,React.js
181,62,Java,HTML/CSS,PostgreSQL,SQLite,Raspberry Pi,iOS,,
182,62,JavaScript,Java,,,WordPress,Linux,,
183,62,Kotlin,JavaScript,,,Other(s):,MacOS,,
184,62,PHP,PHP,,,,Microsoft Azure,,
185,62,Python,Python,,,,Raspberry Pi,,
186,62,Ruby,Ruby,,,,Slack,,
187,62,SQL,SQL,,,,Windows,,
188,62,TypeScript,Swift,,,,WordPress,,
189,62,VBA,,,,,Other(s):,,
190,67,C,C#,DynamoDB,Elasticsearch,AWS,Raspberry Pi,Angular/Angular.js,React.js
191,67,C#,HTML/CSS,Microsoft SQL Server,MongoDB,,,Express,Ruby on Rails
192,67,HTML/CSS,R,MySQL,Redis,,,jQuery,Vue.js
193,67,Java,Rust,PostgreSQL,,,,,
194,67,JavaScript,TypeScript,,,,,,
195,67,PHP,,,,,,,
196,67,Python,,,,,,,
197,67,SQL,,,,,,,
198,67,VBA,,,,,,,
199,68,HTML/CSS,Elixir,Elasticsearch,DynamoDB,AWS,Arduino,Express,Express
200,68,Java,Go,Firebase,Elasticsearch,Google Cloud Platform,AWS,jQuery,jQuery
201,68,JavaScript,HTML/CSS,,Firebase,Linux,Docker,React.js,React.js
202,68,Python,Java,,Redis,MacOS,Google Cloud Platform,Vue.js,Vue.js
203,68,,JavaScript,,,,Kubernetes,,
204,68,,Kotlin,,,,Linux,,
205,68,,Python,,,,MacOS,,
206,68,,R,,,,Raspberry Pi,,
207,68,,Scala,,,,,,
208,68,,TypeScript,,,,,,
209,68,,WebAssembly,,,,,,
210,70,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Windows,Android,ASP.NET,Angular/Angular.js
211,70,HTML/CSS,HTML/CSS,,SQLite,,Arduino,jQuery,ASP.NET
212,70,JavaScript,JavaScript,,,,Google Cloud Platform,,jQuery
213,70,SQL,Python,,,,Microsoft Azure,,
214,70,,SQL,,,,Raspberry Pi,,
215,70,,TypeScript,,,,Windows,,
216,71,HTML/CSS,C#,MariaDB,DynamoDB,Android,Android,Laravel,Angular/Angular.js
217,71,JavaScript,HTML/CSS,MySQL,MySQL,Arduino,AWS,React.js,Django
218,71,PHP,JavaScript,,Redis,AWS,iOS,,jQuery
219,71,Python,PHP,,,Linux,MacOS,,Laravel
220,71,SQL,Ruby,,,MacOS,Windows,,React.js
221,71,VBA,SQL,,,Raspberry Pi,,,Ruby on Rails
222,71,,,,,Windows,,,Vue.js
223,74,HTML/CSS,Java,DynamoDB,DynamoDB,AWS,AWS,Flask,Flask
224,74,Java,Kotlin,,,Linux,iOS,Spring,
225,74,JavaScript,Python,,,MacOS,Linux,,
226,74,Kotlin,,,,Raspberry Pi,MacOS,,
227,74,Python,,,,,Raspberry Pi,,
228,74,Ruby,,,,,,,
229,75,HTML/CSS,HTML/CSS,MongoDB,Elasticsearch,Heroku,AWS,Express,Express
230,75,JavaScript,Java,,Firebase,,Docker,React.js,React.js
231,75,,JavaScript,,MongoDB,,Heroku,,
232,75,,Python,,,,Kubernetes,,
233,75,,TypeScript,,,,,,
234,76,PHP,Python,MariaDB,,AWS,,Other(s):,Other(s):
235,76,SQL,,MySQL,,,,,
236,78,HTML/CSS,HTML/CSS,MongoDB,MongoDB,Android,Android,Express,Express
237,78,Java,Java,,,Raspberry Pi,Raspberry Pi,jQuery,React.js
238,78,JavaScript,JavaScript,,,,,React.js,Vue.js
239,78,Kotlin,Kotlin,,,,,Vue.js,
240,78,Python,Python,,,,,,
241,80,Bash/Shell/PowerShell,F#,MongoDB,Couchbase,Docker,Docker,Angular/Angular.js,ASP.NET
242,80,C#,Go,Microsoft SQL Server,MariaDB,Kubernetes,Google Cloud Platform,ASP.NET,Flask
243,80,F#,Python,,MongoDB,Linux,Kubernetes,Flask,Vue.js
244,80,Go,Rust,,,Microsoft Azure,Linux,Vue.js,Other(s):
245,80,HTML/CSS,,,,Windows,Microsoft Azure,,
246,80,Java,,,,,Windows,,
247,80,JavaScript,,,,,,,
248,80,Python,,,,,,,
249,80,SQL,,,,,,,
250,80,TypeScript,,,,,,,
251,83,HTML/CSS,Elixir,DynamoDB,Cassandra,AWS,AWS,Express,Express
252,83,JavaScript,Go,Elasticsearch,DynamoDB,Docker,Docker,React.js,React.js
253,83,,HTML/CSS,MongoDB,MongoDB,Google Cloud Platform,MacOS,,Ruby on Rails
254,83,,JavaScript,,MySQL,Linux,Slack,,Vue.js
255,83,,Ruby,,Redis,MacOS,,,
256,83,,TypeScript,,,Slack,,,
257,83,,WebAssembly,,,Windows,,,
258,84,C,C#,Firebase,Firebase,Android,Android,ASP.NET,
259,84,C++,Java,MySQL,MySQL,Windows,Windows,,
260,84,C#,Kotlin,SQLite,Oracle,,,,
261,84,Java,Objective-C,,SQLite,,,,
262,84,Kotlin,,,,,,,
263,84,PHP,,,,,,,
264,84,SQL,,,,,,,
265,86,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,Elasticsearch,Linux,Docker,Django,Django
266,86,C#,Go,MongoDB,MariaDB,Windows,Linux,Express,Flask
267,86,HTML/CSS,HTML/CSS,Microsoft SQL Server,MongoDB,,Raspberry Pi,Flask,jQuery
268,86,JavaScript,JavaScript,MySQL,MySQL,,Windows,jQuery,Vue.js
269,86,PHP,Python,Redis,Redis,,,Vue.js,Other(s):
270,86,Python,Rust,SQLite,SQLite,,,,
271,86,SQL,SQL,,,,,,
272,87,Bash/Shell/PowerShell,Go,Microsoft SQL Server,,Android,AWS,Django,Django
273,87,C,HTML/CSS,,,AWS,Docker,React.js,React.js
274,87,C++,JavaScript,,,Docker,Linux,Spring,
275,87,C#,Kotlin,,,iOS,MacOS,,
276,87,Go,Python,,,Linux,,,
277,87,HTML/CSS,,,,MacOS,,,
278,87,Java,,,,Slack,,,
279,87,JavaScript,,,,Windows,,,
280,87,Objective-C,,,,,,,
281,87,Python,,,,,,,
282,87,SQL,,,,,,,
283,90,Bash/Shell/PowerShell,Bash/Shell/PowerShell,DynamoDB,Elasticsearch,Android,Android,React.js,React.js
284,90,C#,C#,Firebase,MySQL,Docker,Docker,Ruby on Rails,Ruby on Rails
285,90,HTML/CSS,JavaScript,MySQL,PostgreSQL,Google Cloud Platform,iOS,,
286,90,Java,Objective-C,SQLite,Redis,iOS,Kubernetes,,
287,90,JavaScript,Ruby,,,,,,
288,90,Objective-C,SQL,,,,,,
289,90,PHP,Swift,,,,,,
290,90,Python,TypeScript,,,,,,
291,90,Ruby,,,,,,,
292,90,SQL,,,,,,,
293,90,Swift,,,,,,,
294,90,TypeScript,,,,,,,
295,92,HTML/CSS,HTML/CSS,PostgreSQL,PostgreSQL,,,Other(s):,Spring
296,92,Java,Java,,,,,,Other(s):
297,92,JavaScript,Kotlin,,,,,,
298,92,Kotlin,SQL,,,,,,
299,92,SQL,,,,,,,
300,92,VBA,,,,,,,
301,94,C#,Assembly,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Android,ASP.NET,ASP.NET
302,94,HTML/CSS,C,,,Windows,Arduino,jQuery,jQuery
303,94,JavaScript,C++,,,,Microsoft Azure,,
304,94,SQL,C#,,,,Raspberry Pi,,
305,94,,HTML/CSS,,,,Windows,,
306,94,,JavaScript,,,,,,
307,94,,Objective-C,,,,,,
308,94,,SQL,,,,,,
309,95,C#,C#,Microsoft SQL Server,Redis,AWS,AWS,Angular/Angular.js,
310,95,HTML/CSS,JavaScript,PostgreSQL,,Docker,Docker,,
311,95,JavaScript,Python,,,Linux,Linux,,
312,95,Python,SQL,,,Windows,Windows,,
313,95,R,,,,,,,
314,95,SQL,,,,,,,
315,97,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Other(s):,Other(s):,Linux,Linux,Flask,Flask
316,97,JavaScript,JavaScript,,,MacOS,MacOS,,
317,97,Python,Python,,,,,,
318,97,R,R,,,,,,
319,97,SQL,SQL,,,,,,
320,104,C#,TypeScript,Microsoft SQL Server,Couchbase,Windows,AWS,Angular/Angular.js,Angular/Angular.js
321,104,HTML/CSS,,,,,Docker,ASP.NET,
322,104,TypeScript,,,,,Microsoft Azure,jQuery,
323,109,C#,C#,MongoDB,Elasticsearch,AWS,AWS,ASP.NET,ASP.NET
324,109,HTML/CSS,HTML/CSS,MySQL,MongoDB,Docker,Docker,jQuery,jQuery
325,109,JavaScript,JavaScript,Oracle,MySQL,Kubernetes,Kubernetes,,
326,109,SQL,SQL,,,Windows,Windows,,
327,110,Python,Python,Cassandra,Cassandra,,Android,,Flask
328,110,SQL,SQL,Other(s):,Elasticsearch,,,,
329,110,,,,Other(s):,,,,
330,114,Bash/Shell/PowerShell,JavaScript,MySQL,MongoDB,Docker,AWS,Laravel,Django
331,114,C++,Python,Redis,Redis,Linux,Docker,Other(s):,Flask
332,114,Erlang,,Other(s):,,,Kubernetes,,Laravel
333,114,JavaScript,,,,,Linux,,React.js
334,114,PHP,,,,,,,Vue.js
335,114,Python,,,,,,,Other(s):
336,115,Assembly,HTML/CSS,Firebase,Firebase,Android,Android,ASP.NET,Express
337,115,C#,Java,MongoDB,MongoDB,Arduino,Docker,jQuery,React.js
338,115,HTML/CSS,JavaScript,Microsoft SQL Server,SQLite,Docker,Google Cloud Platform,React.js,
339,115,Java,SQL,MySQL,,Google Cloud Platform,MacOS,Spring,
340,115,JavaScript,,,,iOS,Slack,,
341,115,SQL,,,,MacOS,Windows,,
342,115,Swift,,,,Slack,,,
343,115,,,,,Windows,,,
344,115,,,,,WordPress,,,
345,116,Scala,Scala,Elasticsearch,Elasticsearch,AWS,AWS,Other(s):,Other(s):
346,116,Other(s):,Other(s):,PostgreSQL,PostgreSQL,Docker,Docker,,
347,116,,,,,Google Cloud Platform,Google Cloud Platform,,
348,116,,,,,Linux,Linux,,
349,117,C#,C#,Microsoft SQL Server,,Slack,Android,Angular/Angular.js,Angular/Angular.js
350,117,HTML/CSS,HTML/CSS,,,Windows,iOS,ASP.NET,Vue.js
351,117,JavaScript,JavaScript,,,,Microsoft Azure,jQuery,
352,117,SQL,TypeScript,,,,Raspberry Pi,Vue.js,
353,117,TypeScript,,,,,Slack,,
354,117,,,,,,Windows,,
355,118,Bash/Shell/PowerShell,Bash/Shell/PowerShell,SQLite,SQLite,Docker,Docker,,
356,118,C,C,,,Linux,Linux,,
357,118,C++,,,,,,,
358,119,C,C,Firebase,Firebase,Android,Android,ASP.NET,Angular/Angular.js
359,119,C++,C++,Microsoft SQL Server,MongoDB,Slack,iOS,,React.js
360,119,C#,C#,MySQL,Microsoft SQL Server,WordPress,Slack,,
361,119,HTML/CSS,HTML/CSS,SQLite,MySQL,,WordPress,,
362,119,Java,Java,,SQLite,,,,
363,119,JavaScript,JavaScript,,,,,,
364,119,SQL,Kotlin,,,,,,
365,119,,Python,,,,,,
366,119,,SQL,,,,,,
367,119,,Swift,,,,,,
368,120,Elixir,Elixir,MongoDB,,AWS,AWS,Flask,Flask
369,120,HTML/CSS,HTML/CSS,PostgreSQL,,Heroku,Google Cloud Platform,Ruby on Rails,React.js
370,120,JavaScript,Python,,,iOS,Heroku,,Ruby on Rails
371,120,Python,Ruby,,,MacOS,iOS,,
372,120,Ruby,Rust,,,Slack,MacOS,,
373,120,SQL,Swift,,,Windows,Slack,,
374,120,,,,,,Windows,,
375,124,HTML/CSS,Java,MySQL,MySQL,AWS,AWS,Spring,Spring
376,124,Java,Python,Oracle,Oracle,Google Cloud Platform,Docker,,
377,124,SQL,,,,,Google Cloud Platform,,
378,124,,,,,,Kubernetes,,
379,124,,,,,,Microsoft Azure,,
380,126,C#,Rust,Microsoft SQL Server,Microsoft SQL Server,Linux,AWS,ASP.NET,
381,126,SQL,,,PostgreSQL,MacOS,iOS,,
382,126,,,,,Microsoft Azure,Linux,,
383,126,,,,,Windows,MacOS,,
384,126,,,,,Other(s):,Microsoft Azure,,
385,126,,,,,,Windows,,
386,126,,,,,,Other(s):,,
387,129,C++,C++,MySQL,Couchbase,Linux,AWS,,Django
388,129,Python,Clojure,,MongoDB,Raspberry Pi,Docker,,
389,129,R,Go,,,,Linux,,
390,129,,Python,,,,Raspberry Pi,,
391,129,,R,,,,,,
392,129,,Rust,,,,,,
393,130,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MySQL,PostgreSQL,AWS,AWS,Django,Django
394,130,C++,C#,PostgreSQL,Redis,Docker,Linux,Flask,Flask
395,130,Clojure,Clojure,Redis,SQLite,Linux,Windows,Spring,
396,130,HTML/CSS,Erlang,SQLite,,MacOS,,,
397,130,Java,Go,,,Slack,,,
398,130,Python,HTML/CSS,,,Windows,,,
399,130,Ruby,Kotlin,,,WordPress,,,
400,130,SQL,Python,,,,,,
401,130,,Ruby,,,,,,
402,130,,Scala,,,,,,
403,130,,SQL,,,,,,
404,135,Go,HTML/CSS,Couchbase,PostgreSQL,,,Angular/Angular.js,Angular/Angular.js
405,135,HTML/CSS,JavaScript,MongoDB,,,,Express,Express
406,135,JavaScript,TypeScript,PostgreSQL,,,,jQuery,React.js
407,135,TypeScript,,,,,,React.js,
408,139,Bash/Shell/PowerShell,Bash/Shell/PowerShell,MariaDB,MariaDB,Linux,Linux,ASP.NET,Angular/Angular.js
409,139,HTML/CSS,C#,MySQL,MySQL,Raspberry Pi,Raspberry Pi,jQuery,jQuery
410,139,JavaScript,HTML/CSS,Oracle,PostgreSQL,Windows,Windows,,React.js
411,139,PHP,PHP,,,,,,
412,139,Python,Python,,,,,,
413,139,SQL,SQL,,,,,,
414,140,Java,Dart,Firebase,Couchbase,Android,Android,,Angular/Angular.js
415,140,JavaScript,Java,MySQL,DynamoDB,AWS,Arduino,,Express
416,140,Kotlin,JavaScript,PostgreSQL,Elasticsearch,Heroku,AWS,,jQuery
417,140,PHP,Kotlin,SQLite,Firebase,MacOS,Docker,,Laravel
418,140,SQL,PHP,,MariaDB,,Google Cloud Platform,,React.js
419,140,,Python,,MongoDB,,Heroku,,
420,140,,SQL,,MySQL,,IBM Cloud or Watson,,
421,140,,,,PostgreSQL,,MacOS,,
422,140,,,,Redis,,Raspberry Pi,,
423,140,,,,SQLite,,Slack,,
424,140,,,,,,WordPress,,
425,144,Java,HTML/CSS,Oracle,Oracle,Windows,Docker,Spring,Spring
426,144,SQL,Java,,,,Windows,,
427,144,,SQL,,,,,,
428,147,HTML/CSS,Kotlin,MySQL,MongoDB,AWS,AWS,Angular/Angular.js,Angular/Angular.js
429,147,Java,,,,Docker,Docker,Express,Express
430,147,JavaScript,,,,Linux,Linux,Spring,Spring
431,147,Kotlin,,,,,,,
432,148,HTML/CSS,HTML/CSS,MySQL,,,,Express,React.js
433,148,JavaScript,JavaScript,,,,,React.js,
434,148,TypeScript,Python,,,,,,
435,148,,TypeScript,,,,,,
436,148,,WebAssembly,,,,,,
437,151,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Elasticsearch,Elasticsearch,Android,Android,Angular/Angular.js,
438,151,C++,C++,MongoDB,MongoDB,AWS,AWS,React.js,
439,151,C#,C#,Microsoft SQL Server,Microsoft SQL Server,Docker,Docker,,
440,151,HTML/CSS,Go,MySQL,,Linux,Kubernetes,,
441,151,Java,Java,,,Microsoft Azure,Linux,,
442,151,JavaScript,Kotlin,,,Windows,Microsoft Azure,,
443,151,SQL,Python,,,,Windows,,
444,151,TypeScript,SQL,,,,,,
445,151,,TypeScript,,,,,,
446,158,Java,Java,Oracle,Cassandra,Linux,Linux,Other(s):,Drupal
447,158,SQL,SQL,,,Windows,Windows,,Spring
448,158,Other(s):,,,,,,,Other(s):
449,159,Bash/Shell/PowerShell,Bash/Shell/PowerShell,Oracle,Elasticsearch,Docker,Android,Django,Django
450,159,HTML/CSS,Clojure,PostgreSQL,PostgreSQL,Linux,Arduino,React.js,React.js
451,159,JavaScript,Go,SQLite,Redis,Raspberry Pi,Docker,,Vue.js
